Reporting starts,Campaign name,Objective,Reach,Impressions,Frequency,Amount spent (VND),CTR (link click-through rate),CPC (All) (VND),"CPM (cost per 1,000 impressions) (VND)","Cost per 1,000 people reached (VND)",Conversions,Conversion values,Cost per conversion,Post comments,Link clicks,Messaging Conversations Started
2025-04-12,01_HEAD_Embrace of Tana,Messages,2412,2798,1.160033,93326,0.357398,657.225352,33354.53896,38692.37148,0,0,0,3,10,7
2025-04-12,01_HEAD_Embrace of Tana,Messages,533,589,1.105066,33259,1.018676,923.861111,56466.89304,62399.62477,0,0,0,0,6,1
2025-04-12,05_HEAD_Thiet ke,Messages,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-12,11_Q7_Hon hop,Messages,93,111,1.193548,12826,1.801802,1603.25,115549.5496,137913.9785,0,0,0,0,2,0
2025-04-12,07_HEAD_Hoa cat canh,Engagement,1060,1492,1.407547,127022,0.536193,858.256757,85135.38874,119832.0755,0,0,0,0,8,4
2025-04-12,BR_HTM_Tuong tac,Engagement,880,940,1.068182,25674,0.744681,333.428571,27312.76596,29175,0,0,0,0,7,1
2025-04-12,BR_HTM_Tuong tac,Engagement,872,1047,1.200688,30432,2.387775,147.014493,29065.90258,34899.08257,0,0,0,0,25,1
2025-04-12,07_Q7_Hoa cat canh,Engagement,518,637,1.22973,51382,0.784929,842.327869,80662.48038,99193.05019,0,0,0,0,5,0
2025-04-12,10_HEAD_Lan Ho diep,Messages,1005,1105,1.099502,89857,0.542986,872.398058,81318.55204,89409.95025,0,0,0,4,6,3
2025-04-12,08_HEAD_Daily Flower,Messages,935,1107,1.183957,60903,0.813008,733.771084,55016.26016,65136.8984,0,0,0,0,9,0
2025-04-12,11_Q7_Hon hop,Messages,2697,2924,1.084168,133118,1.504788,564.059322,45525.99179,49357.80497,0,0,0,3,44,11
2025-04-12,10_HEAD_Lan Ho diep,Messages,215,225,1.046512,13715,0.444444,685.75,60955.55556,63790.69767,0,0,0,1,1,0
2025-04-12,10_HEAD_Lan Ho diep,Messages,181,187,1.033149,13407,0.534759,705.631579,71695.18717,74071.8232,0,0,0,0,1,0
2025-04-12,10_HEAD_Lan Ho diep,Messages,816,878,1.07598,80138,0.341686,1232.892308,91273.34852,98208.33333,0,0,0,0,3,3
2025-04-12,BR_Mokar_Tuong tac,Engagement,1413,1460,1.033263,25378,0.479452,177.468531,17382.19178,17960.36801,0,0,0,1,7,0
2025-04-12,11_Q2_Hon hop,Messages,1049,1240,1.182078,103532,0.322581,1125.347826,83493.54839,98695.90086,0,0,0,0,4,8
2025-04-12,10_HEAD_Lan Ho diep,Messages,300,310,1.033333,19551,0.645161,931,63067.74194,65170,0,0,0,0,2,1
2025-04-12,07_HEAD_Hoa cat canh,Engagement,797,908,1.139272,60569,0.550661,776.525641,66705.94714,75996.23589,0,0,0,3,5,2
2025-04-11,11_Q2_Hon hop,Messages,159,164,1.031447,21138,0,2642.25,128890.2439,132943.3962,0,0,0,0,0,0
2025-04-11,05_HEAD_Thiet ke,Messages,870,1102,1.266667,59602,1.361162,584.333333,54085.29946,68508.04598,0,0,0,0,15,1
2025-04-11,10_HEAD_Lan Ho diep,Messages,238,249,1.046218,25036,0.401606,1788.285714,100546.1847,105193.2773,0,0,0,0,1,1
2025-04-11,05_HEAD_Thiet ke,Messages,746,839,1.124665,128234,0.476758,2035.460317,152841.478,171895.4424,0,0,0,0,4,5
2025-04-11,04_HEAD_Breezy,Messages,302,328,1.086093,26683,0.304878,1778.866667,81350.60976,88354.30464,0,0,0,1,1,1
2025-04-11,11_Q7_Hon hop,Messages,490,529,1.079592,35744,0.189036,1021.257143,67568.99811,72946.93878,0,0,0,0,1,0
2025-04-11,10_HEAD_Lan Ho diep,Messages,98,103,1.05102,9405,0,3135,91310.67961,95969.38776,0,0,0,0,0,0
2025-04-11,05_HEAD_Thiet ke,Messages,554,626,1.129964,58357,1.277955,1042.089286,93222.04473,105337.5451,0,0,0,1,8,4
2025-04-11,04_HEAD_Breezy,Messages,498,558,1.120482,31203,0.716846,1006.548387,55919.35484,62656.62651,0,0,0,1,4,1
2025-04-11,05_HEAD_Thiet ke,Messages,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-11,04_HEAD_Breezy,Messages,619,667,1.077544,36184,1.649175,709.490196,54248.87556,58455.57351,0,0,0,0,11,1
2025-04-11,07_HEAD_Hoa cat canh,Engagement,874,1221,1.397025,118800,0.2457,1291.304348,97297.2973,135926.7735,0,0,0,0,3,4
2025-04-11,07_HEAD_Hoa cat canh,Engagement,62,69,1.112903,5166,1.449275,344.4,74869.56522,83322.58065,0,0,0,0,1,0
2025-04-11,11_Q2_Hon hop,Messages,192,202,1.052083,38365,0.49505,1826.904762,189925.7426,199817.7083,0,0,0,1,1,1
2025-04-11,07_HEAD_Hoa cat canh,Engagement,434,543,1.251152,53900,0.736648,962.5,99263.35175,124193.5484,0,0,0,1,4,1
2025-04-11,07_Q2_Hoa cat canh,Engagement,440,551,1.252273,51709,0.181488,807.953125,93845.73503,117520.4545,0,0,0,0,1,0
2025-04-11,07_HEAD_Hoa cat canh,Engagement,580,706,1.217241,57934,0.566572,1259.434783,82059.49009,99886.2069,0,0,0,0,4,1
2025-04-11,05_HEAD_Thiet ke,Messages,242,255,1.053719,23624,0.392157,1687.428571,92643.13726,97619.83471,0,0,0,0,1,0
2025-04-11,07_HEAD_Hoa cat canh,Engagement,358,471,1.315642,52938,0.424628,1512.514286,112394.9045,147871.5084,0,0,0,0,2,1
2025-04-11,04_HEAD_Breezy,Messages,749,887,1.184246,35822,0.563698,1085.515152,40385.56934,47826.43525,0,0,0,1,5,2
2025-04-11,05_HEAD_Thiet ke,Messages,339,373,1.100295,31640,0.80429,1977.5,84825.73727,93333.33333,0,0,0,1,3,0
2025-04-11,04_HEAD_Breezy,Messages,296,316,1.067568,11563,0.632911,889.461538,36591.77215,39064.18919,0,0,0,1,2,1
2025-04-11,07_HEAD_Hoa cat canh,Engagement,88,92,1.045455,10334,1.086957,607.882353,112326.087,117431.8182,0,0,0,1,1,1
2025-04-11,04_HEAD_Breezy,Messages,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-11,01_HEAD_Embrace of Tana,Messages,2869,3366,1.173231,118887,0.534759,720.527273,35319.96435,41438.48031,0,0,0,5,18,9
2025-04-11,01_HEAD_Embrace of Tana,Messages,734,828,1.128065,48810,1.086957,1319.189189,58949.27536,66498.6376,0,0,0,1,9,2
